fulcrum_id,fulcrum_parent_id,fulcrum_record_id,fulcrum_record_version,version,caption,latitude,longitude,geometry,file_size,uploaded_at,exif_date_time,exif_gps_altitude,exif_gps_date_stamp,exif_gps_time_stamp,exif_gps_dop,exif_gps_img_direction,exif_gps_img_direction_ref,exif_gps_latitude,exif_gps_latitude_ref,exif_gps_longitude,exif_gps_longitude_ref,exif_make,exif_model,exif_orientation,exif_pixel_x_dimension,exif_pixel_y_dimension,exif_software,exif_x_resolution,exif_y_resolution
fe4960f2-8ee1-4e6f-8464-1f26f5c7acf9,63a1129d-5489-4f2d-889d-cc8571d617ee,86087b6d-cf80-4346-bb34-cfc13b9e94a3,1,1,"",55.67663,-4.06591,POINT (-4.06591 55.67663),155742,2016-04-16 15:18:47 UTC,2016-04-16 16:12:21 UTC,177.8090909090909,2016-04-16,15:12:22,5.0,252.61928934010152,M,"55.0,40.0,35.87",N,"4.0,3.0,57.27",W,Apple,"iPhone5,2","",810,1080,"iOS 9.3.1, Fulcrum 2.11.3 (2793)",72.0,72.0
682a37f2-6599-44dc-aed3-534b41e4f3bb,63189452-7db3-462b-bf76-ad3c0e90c5bb,d08e2b7b-ca8e-4f73-868d-1003d3ff95d8,1,1,"",55.79881,-3.8451,POINT (-3.8451 55.79881),165205,2016-04-17 12:41:43 UTC,2016-04-16 16:43:23 UTC,157.45711835334478,2016-04-16,15:43:25,10.0,315.56296296296296,M,"55.0,47.0,55.72",N,"3.0,50.0,42.36",W,Apple,"iPhone5,2","",810,1080,"iOS 9.3.1, Fulcrum 2.11.3 (2793)",72.0,72.0
dc2284cc-1a93-40d4-bf4d-9c21d1ae237d,ffc462d1-d8cd-4c08-aee9-0dd5c206c73c,822ff783-133b-4816-bef7-1d9d582a61b3,1,1,"",55.80816,-3.79908,POINT (-3.79908 55.80816),199074,2016-04-17 12:41:46 UTC,2016-04-16 16:46:10 UTC,202.15298507462686,2016-04-16,15:46:11,10.0,335.9484536082474,M,"55.0,48.0,29.39",N,"3.0,47.0,56.67",W,Apple,"iPhone5,2","",810,1080,"iOS 9.3.1, Fulcrum 2.11.3 (2793)",72.0,72.0
dbf105b3-0691-45e8-964e-35713c8a4722,4ecc6d8b-b837-4bcd-a69a-dbed491ddaea,e32d06f5-dc42-4fd4-94e0-6462c508ddd9,1,1,"",55.80538,-3.76804,POINT (-3.76804 55.80538),188695,2016-04-17 12:41:49 UTC,2016-04-16 16:47:20 UTC,236.92640692640694,2016-04-16,15:47:24,10.0,344.07103825136613,M,"55.0,48.0,19.37",N,"3.0,46.0,4.93",W,Apple,"iPhone5,2","",810,1080,"iOS 9.3.1, Fulcrum 2.11.3 (2793)",72.0,72.0
f18b63dc-9ef3-41a9-acde-6f590c443b58,17754499-a6f5-45ea-835b-909fedc1eb8d,2783544c-da9d-47aa-b291-ae70892ed597,1,1,"",55.80753,-3.74728,POINT (-3.74728 55.80753),240030,2016-04-17 12:41:53 UTC,2016-04-16 16:48:09 UTC,228.6624203821656,2016-04-16,15:48:11,10.0,324.6290909090909,M,"55.0,48.0,27.12",N,"3.0,44.0,50.22",W,Apple,"iPhone5,2","",810,1080,"iOS 9.3.1, Fulcrum 2.11.3 (2793)",72.0,72.0
a589868d-ad7a-40bf-89bf-269b2a7ed034,5359d7d3-feac-4b2a-a256-c107df45a00c,02b5490c-f527-4ab4-882d-77e4fdc7faed,1,1,"",55.81101,-3.71536,POINT (-3.71536 55.81101),189773,2016-04-17 12:41:56 UTC,2016-04-16 16:49:27 UTC,223.292817679558,2016-04-16,15:49:29,10.0,325.3334656609766,M,"55.0,48.0,39.62",N,"3.0,42.0,55.29",W,Apple,"iPhone5,2","",810,1080,"iOS 9.3.1, Fulcrum 2.11.3 (2793)",72.0,72.0
8a986938-0692-4adc-922e-8052db6c410e,c60274d3-e6cc-4852-b713-8a77a1b7deed,1b525581-7078-4d11-bc11-2d83245f69db,1,1,"",55.99079,-3.40469,POINT (-3.40469 55.99079),204504,2016-04-17 12:41:59 UTC,2016-04-17 13:32:03 UTC,25.40035587188612,2016-04-17,12:32:04,5.0,273.1554054054054,M,"55.0,59.0,26.86",N,"3.0,24.0,16.9",W,Apple,"iPhone5,2","",810,1080,"iOS 9.3.1, Fulcrum 2.11.3 (2793)",72.0,72.0
989bd627-849f-41f9-8575-be3e3b9eabc5,3ccea5a6-de0f-422c-931b-6cbb2025f17c,599def14-19d6-40ea-9b04-73ac637f4150,1,1,"",55.9948,-3.40451,POINT (-3.40451 55.9948),202142,2016-04-17 12:42:03 UTC,2016-04-17 13:32:28 UTC,12.811061946902655,2016-04-17,12:32:31,5.0,259.78195488721803,M,"55.0,59.0,41.27",N,"3.0,24.0,16.23",W,Apple,"iPhone5,2","",810,1080,"iOS 9.3.1, Fulcrum 2.11.3 (2793)",72.0,72.0
e6dc086b-a20f-4bf0-b333-8174d46f53b6,3ccea5a6-de0f-422c-931b-6cbb2025f17c,599def14-19d6-40ea-9b04-73ac637f4150,1,1,"",55.99679,-3.40447,POINT (-3.40447 55.99679),196092,2016-04-17 12:42:05 UTC,2016-04-17 13:32:40 UTC,11.495448634590376,2016-04-17,12:32:44,5.0,248.61697247706422,M,"55.0,59.0,48.45",N,"3.0,24.0,16.1",W,Apple,"iPhone5,2","",810,1080,"iOS 9.3.1, Fulcrum 2.11.3 (2793)",72.0,72.0
55275de8-6ec8-4d28-8587-56b0cfc4887a,3ccea5a6-de0f-422c-931b-6cbb2025f17c,599def14-19d6-40ea-9b04-73ac637f4150,1,1,"",56.00032,-3.40426,POINT (-3.40426 56.00032),204441,2016-04-17 12:42:08 UTC,2016-04-17 13:33:04 UTC,17.53713527851459,2016-04-17,12:33:07,5.0,284.7776183644189,M,"56.0,0.0,1.14",N,"3.0,24.0,15.33",W,Apple,"iPhone5,2","",810,1080,"iOS 9.3.1, Fulcrum 2.11.3 (2793)",72.0,72.0
0b002cd6-4792-43dd-b045-f6d7aead5089,3ccea5a6-de0f-422c-931b-6cbb2025f17c,599def14-19d6-40ea-9b04-73ac637f4150,1,1,"",56.00762,-3.40388,POINT (-3.40388 56.00762),180191,2016-04-17 12:42:12 UTC,2016-04-17 13:33:53 UTC,11.540614960991281,2016-04-17,12:33:56,5.0,312.3824884792627,M,"56.0,0.0,27.44",N,"3.0,24.0,13.97",W,Apple,"iPhone5,2","",810,1080,"iOS 9.3.1, Fulcrum 2.11.3 (2793)",72.0,72.0
