Latitude,Longitude,Keywords,Object_ID
34.47580561,69.12717819,Martyr,25
34.4757835,69.1273123,Martyr,25
34.50047364,69.12923813,Martyr,25
34.48733359,69.13554668,Martyr,25
34.49897051,69.13756371,Martyr,25
34.50008018,69.14140999,Martyr,25
34.50008018,69.14140999,Martyr,25
34.50694563,69.15182769,Martyr,25
34.5498585,69.1629374,Martyr,25
34.53060127,69.17215347,Martyr,25
34.52142623,69.17352676,Martyr,25
34.51906601,69.17909503,Martyr,25
34.53669973,69.19273138,Martyr,25
34.53646994,69.19309616,Martyr,25
34.52968204,69.19901848,Martyr,25
34.50715782,69.21918869,Martyr,25
34.5074761,69.22360897,Martyr,25
34.52083397,69.08883333,Martyr,25
34.52855067,69.11365986,Nationalism,28
34.52685359,69.11499023,Nationalism,28
34.46881376,69.12181377,Nationalism,28
"34.4717503188006,",69.12391663,Nationalism,28
34.47344852,69.12537575,Nationalism,28
34.51575098,69.12614822,Nationalism,28
34.4764601,69.1261965,Nationalism,28
34.47634955,69.12637353,Nationalism,28
34.47608863,69.12691534,Nationalism,28
34.51572888,69.13270891,Nationalism,28
34.49828083,69.1344738,Nationalism,28
34.50121635,69.13803577,Nationalism,28
34.4953452,69.14172649,Nationalism,28
34.50088921,69.14200008,Nationalism,28
34.50088921,69.14200008,Nationalism,28
34.50050901,69.1420269,Nationalism,28
34.4990943,69.14464474,Nationalism,28
34.49785641,69.14571762,Nationalism,28
34.50210053,69.14797068,Nationalism,28
34.50436397,69.15412903,Nationalism,28
34.5498585,69.16291595,Nationalism,28
34.52287591,69.17344093,Nationalism,28
34.52078977,69.17907357,Nationalism,28
34.5194638,69.17942762,Nationalism,28
34.52051132,69.17946517,Nationalism,28
34.53848499,69.19923306,Nationalism,28
34.53289929,69.20060635,Nationalism,28
34.53406595,69.20228004,Nationalism,28
34.52946991,69.20253754,Nationalism,28
34.54265634,69.20575619,Nationalism,28
34.5533,69.2063,Nationalism,28
34.50558408,69.22124863,Nationalism,28
34.50860776,69.22240734,Nationalism,28
34.50970404,69.22687054,Nationalism,28
34.58707003,68.95872474,Nationalism,28
34.58707445,68.95879984,Nationalism,28
34.58703028,68.95886958,Nationalism,28
34.51411552,69.11783338,Nationalism,28
34.51419951,69.11783874,Nationalism,28
34.53074269,69.10237312,Pakistan,29
34.50477068,69.11463082,Pakistan,29
34.50477068,69.11908865,Pakistan,29
34.5196,69.1243,Pakistan,29
34.49184353,69.13524628,Pakistan,29
34.48954438,69.13810015,Pakistan,29
34.50042059,69.1392374,Pakistan,29
34.49283392,69.14039612,Pakistan,29
34.50358592,69.1484642,Pakistan,29
34.52011353,69.17475522,Pakistan,29
34.51850909,69.17850494,Pakistan,29
34.52607575,69.09653664,Taliban,35
34.52946991,69.10938525,Taliban,35
34.52946991,69.11018372,Taliban,35
34.50567244,69.11754377,Taliban,35
34.46754888,69.12115932,Taliban,35
34.5080773,69.12129879,Taliban,35
34.53360636,69.12782192,Taliban,35
34.51168437,69.13106203,Taliban,35
34.48271729,69.13237095,Taliban,35
34.51394755,69.13260698,Taliban,35
34.51412436,69.13275719,Taliban,35
34.51455754,69.13330436,Taliban,35
34.51157828,69.13421631,Taliban,35
34.51150756,69.13537502,Taliban,35
34.48910223,69.13709164,Taliban,35
34.49060554,69.13799286,Taliban,35
34.49057016,69.13829327,Taliban,35
34.49605259,69.13936615,Taliban,35
34.49375355,69.14103985,Taliban,35
34.49849304,69.14116859,Taliban,35
34.49529215,69.14151192,Taliban,35
34.49649471,69.14252043,Taliban,35
34.49686608,69.14277792,Taliban,35
34.50051343,69.14356649,Taliban,35
34.47057836,69.14756835,Taliban,35
34.51787261,69.17574763,Taliban,35
34.51994115,69.181391,Taliban,35
34.54129537,69.1960144,Taliban,35
34.51430117,69.19734478,Taliban,35
34.51430117,69.19734478,Taliban,35
34.52736625,69.09697652,Taliban,35
34.51169321,69.11782265,Taliban,35
34.50416946,69.10363913,Tribalism/Regionalism,37
34.50744074,69.12348747,Tribalism/Regionalism,37
34.47680945,69.12563324,Tribalism/Regionalism,37
34.57573694,69.12585855,Tribalism/Regionalism,37
34.50500055,69.12816525,Tribalism/Regionalism,37
34.50231273,69.13146973,Tribalism/Regionalism,37
34.4898981,69.13771391,Tribalism/Regionalism,37
34.50719319,69.13799286,Tribalism/Regionalism,37
34.56418143,69.15327072,Tribalism/Regionalism,37
34.52699501,69.20339584,Tribalism/Regionalism,37
34.50942113,69.22498226,Tribalism/Regionalism,37
34.51414204,69.11783874,Tribalism/Regionalism,37
34.52770213,69.12005424,War/Peace,39
34.52116104,69.100914,War/Peace,39
34.52632324,69.11185741,War/Peace,39
34.50966867,69.11327362,War/Peace,39
34.53279323,69.11433578,War/Peace,39
34.50477952,69.1148293,War/Peace,39
34.50476183,69.11527455,War/Peace,39
34.5198,69.1215,War/Peace,39
34.52876722,69.1215992,War/Peace,39
34.5194,69.1219,War/Peace,39
34.46962751,69.12258625,War/Peace,39
34.5195,69.1226,War/Peace,39
34.46980442,69.122715,War/Peace,39
34.5195,69.1236,War/Peace,39
34.51171973,69.12365913,War/Peace,39
34.5194638,69.12541866,War/Peace,39
34.51462826,69.12610531,War/Peace,39
34.51575098,69.12614822,War/Peace,39
34.51575098,69.12614822,War/Peace,39
34.51575098,69.12614822,War/Peace,39
34.51581728,69.12642717,War/Peace,39
34.51577308,69.12646472,War/Peace,39
34.51572446,69.12654519,War/Peace,39
34.51589243,69.1269207,War/Peace,39
"34.5169886074523,",69.12752151,War/Peace,39
34.51179046,69.12923813,War/Peace,39
34.51135727,69.13268209,War/Peace,39
