LocationID,Latitude,Longitude,Tags
20160201-MSDROP-02-C-608,35.96086111,38.99094444,BusinessTakeover
20160201-MSDROP-02-C-609,35.95758333,38.98772222,BusinessTakeover CoalitionAirstrike
20160201-MSDROP-02-C-610,35.95580556,39.00791667,CoalitionAirstrike
20160201-MSDROP-02-C-611,35.76133333,39.58827778,CoalitionAirstrike
20160201-MSDROP-02-C-612,35.96,38.98188889,
20160201-MSDROP-02-C-613,35.94747222,39.01697222,ISILRuleNegative
20160201-MSDROP-02-C-614,35.94613889,39.01416667,BusinessImpact BusinessTakeover ISILRuleNegative
20160203-MSDROP-02-C-620,35.95019444,39.0125,
20160203-MSDROP-02-C-621,35.95519444,39.00316667,
20160203-MSDROP-02-C-622,35.95522222,39.00461111,
20160203-MSDROP-02-C-623 ,35.94861111,39.00541667,ISILRuleNegative
20160203-MSDROP-02-C-624,35.94858333,39.00477778,BusinessTakeover
20160203-MSDROP-02-C-625,35.9485,39.00775,ForeignFighter ISILMilitia InternetCafe
20160203-MSDROP-02-C-626,35.95461389,39.00938333,ForeignFighter BusinessTakeover
20160203-MSDROP-02-C-627,35.94916667,39.01094444,BusinessImpact
20160203-MSDROP-02-C-628,35.94394444,39.03488889,ForeignFighter ISILMilitia InternetCafe
20160203-MSDROP-02-C-629,35.96447222,39.01033333,InternetCafe
20160203-MSDROP-02-C-630,35.85822222,39.13066667,CoalitionAirstrike
20160203-MSDROP-02-C-631,36.37269444,38.90444444,
20160203-MSDROP-02-C-632,35.95019444,39.0125,
20160203-MSDROP-02-C-633,35.95658333,39.02013889,
20160203-MSDROP-02-C-634,35.95630556,39.00313889,CoalitionAirstrike
20160203-MSDROP-02-C-635,35.956125,39.01223611,
20160203-MSDROP-02-C-636,36.69144444,38.95252778,
20160203-MSDROP-02-C-637,35.95241667,38.98575,
20160203-MSDROP-02-C-638,35.94263889,39.01555556,WasteIssues
20160203-MSDROP-02-C-639,35.94219444,39.01233333,
20160203-MSDROP-02-C-640,35.96447222,39.01033333,BusinessImpact
20160203-MSDROP-02-C-641,35.94913889,39.01325,
20160203-MSDROP-02-C-642,36.46255556,39.49908333,CoalitionAirstrike
20160203-MSDROP-02-C-643,35.95019444,39.0125,ISILRuleNegative
20160203-MSDROP-02-C-644,35.75233333,39.61716667,
20160203-MSDROP-02-C-645,35.95461389,39.00938333,
20160203-MSDROP-02-C-646,35.94613889,39.01416667,
20160203-MSDROP-02-C-647,35.96272222,38.99469444,BusinessTakeover
20160203-MSDROP-02-C-648,35.96227778,38.99422222,
20160203-MSDROP-02-C-649,35.96122222,38.98980556,WasteIssues
20160203-MSDROP-02-C-650,35.95477778,39.00280556,
20160203-MSDROP-02-C-651,35.94936111,39.00872222,
20160203-MSDROP-02-C-652,35.94936111,39.00872222,
20160203-MSDROP-02-C-653,35.94936111,39.00872222,
20160203-MSDROP-02-C-654,35.94288889,39.02186111,CoalitionAirstrike Propaganda
20160203-MSDROP-02-C-655,35.94747222,39.01697222,
20160203-MSDROP-02-C-656,35.94747222,39.01269444,RoadIssues
20160203-MSDROP-02-C-657,35.94747222,39.01697222,
20160203-MSDROP-02-C-658,35.94747222,39.01697222,
20160203-MSDROP-02-C-659,35.94747222,39.01697222,
20160203-MSDROP-02-C-660,35.94747222,39.01697222,
20160203-MSDROP-02-C-661,35.94886111,39.006,ISILMilitia
20160203-MSDROP-02-C-662,35.94861111,39.00541667,CoalitionAirstrike
20160218-MSDROP-02-C-727,35.95608333,39.00483333,ISILRuleNegative
20160218-MSDROP-02-C-728,35.94747222,39.01697222,
20160218-MSDROP-02-C-729,34.58822222,43.68466667,BusinessTakeover
20160218-MSDROP-02-C-730,35.94666667,39.01269444,Propaganda
20160218-MSDROP-02-C-731,35.92913889,38.74236111,ISILRuleNegative
20160218-MSDROP-02-C-732,35.94666667,39.0125,
20160218-MSDROP-02-C-733,35.94666667,39.01269444,
20160218-MSDROP-02-C-734,35.96447222,39.01033333,ISILRuleNegative
20160218-MSDROP-02-C-735,35.94747222,39.01697222,
20160218-MSDROP-02-C-736,35.95019444,39.0125,ISILRuleNegative
20160218-MSDROP-02-C-737,35.95019444,39.0125,
20160218-MSDROP-02-C-738,35.94969444,39.00736111,BusinessTakeover
20160218-MSDROP-02-C-739,35.94752778,39.22355556,
20160225-MSDROP-02-C-771,35.94252778,39.02975,ISILRuleNegative
20160225-MSDROP-02-C-772,35.94252778,39.02975,ISILRuleNegative
20160225-MSDROP-02-C-773,35.94747222,39.01697222,
20160229-MSDROP-02-C-774,35.95019444,39.0125,
20160229-MSDROP-02-C-775,35.94294444,39.01155556,
20160229-MSDROP-02-C-776,35.95053056,39.00944722,Propaganda
20160229-MSDROP-02-C-777,35.94666667,39.01269444,ISILRuleNegative
20160229-MSDROP-02-C-778,35.95019444,39.0125,
