Latitude,Longitude,Political Assoc,Object_ID
34.52770213,69.12005424,Pro-Peace,13
34.52847996,69.1129303,Pro-Peace,13
34.53152048,69.11327362,Pro-Peace,13
34.51009303,69.11417484,Pro-Peace,13
34.52759607,69.11550522,Pro-Peace,13
34.51214408,69.12074089,Pro-Peace,13
34.52876722,69.1215992,Pro-Peace,13
34.51171973,69.12365913,Pro-Peace,13
"34.4731654923855, ",69.12451744,Pro-Peace,13
34.5194638,69.12541866,Pro-Peace,13
34.51462826,69.12610531,Pro-Peace,13
34.51575098,69.12614822,Pro-Peace,13
34.51575098,69.12614822,Pro-Peace,13
34.51575098,69.12614822,Pro-Peace,13
34.51575098,69.12614822,Pro-Peace,13
34.51583054,69.12625551,Pro-Peace,13
34.51581728,69.12642717,Pro-Peace,13
34.51577308,69.12646472,Pro-Peace,13
34.51572446,69.12654519,Pro-Peace,13
34.51552114,69.12657738,Pro-Peace,13
34.51575098,69.12670612,Pro-Peace,13
34.47612401,69.12756979,Pro-Peace,13
34.47629648,69.12772536,Pro-Peace,13
34.51164901,69.13052559,Pro-Peace,13
34.50439049,69.13347602,Pro-Peace,13
34.50439049,69.13347602,Pro-Peace,13
34.49888209,69.13625479,Pro-Peace,13
34.494178,69.13640499,Pro-Peace,13
34.57464153,69.13657665,Pro-Peace,13
34.48975661,69.13756371,Pro-Peace,13
34.49897051,69.13756371,Pro-Peace,13
34.49553973,69.13788557,Pro-Peace,13
34.50175128,69.13795531,Pro-Peace,13
34.49628249,69.13840055,Pro-Peace,13
34.49782104,69.138937,Pro-Peace,13
34.4664432,69.13928032,Pro-Peace,13
34.47113117,69.13951635,Pro-Peace,13
34.50050901,69.1420269,Pro-Peace,13
34.55124584,69.14228439,Pro-Peace,13
34.47045453,69.14599657,Pro-Peace,13
34.47032185,69.1460824,Pro-Peace,13
34.47027321,69.14652765,Pro-Peace,13
34.50686164,69.1502291,Pro-Peace,13
34.50977476,69.15527701,Pro-Peace,13
34.54576704,69.15957928,Pro-Peace,13
34.54984966,69.16292667,Pro-Peace,13
34.5498585,69.1629374,Pro-Peace,13
34.53102552,69.16571617,Pro-Peace,13
34.53256343,69.16631699,Pro-Peace,13
34.52805569,69.17009354,Pro-Peace,13
34.51732453,69.17341948,Pro-Peace,13
34.54058395,69.17351067,Pro-Peace,13
34.53906828,69.17393446,Pro-Peace,13
34.51989695,69.17414904,Pro-Peace,13
34.51927817,69.1743207,Pro-Peace,13
34.51918093,69.1743958,Pro-Peace,13
34.51735105,69.17496443,Pro-Peace,13
34.51997651,69.17509317,Pro-Peace,13
34.51989519,69.17539358,Pro-Peace,13
34.51911905,69.17539358,Pro-Peace,13
34.51921629,69.17553306,Pro-Peace,13
34.51907485,69.17574763,Pro-Peace,13
34.51978204,69.17577982,Pro-Peace,13
34.51859749,69.17584419,Pro-Peace,13
34.51883617,69.17591929,Pro-Peace,13
34.51976436,69.17595148,Pro-Peace,13
34.51878313,69.17600513,Pro-Peace,13
34.51861959,69.17601049,Pro-Peace,13
34.51975552,69.17602658,Pro-Peace,13
34.51880081,69.17602658,Pro-Peace,13
34.51868589,69.17604804,Pro-Peace,13
34.51870357,69.17610168,Pro-Peace,13
34.51962734,69.17626262,Pro-Peace,13
34.51978204,69.17627335,Pro-Peace,13
34.519729,69.17654157,Pro-Peace,13
34.51911463,69.17656839,Pro-Peace,13
34.51964944,69.17730331,Pro-Peace,13
34.5193754,69.17817235,Pro-Peace,13
34.52090469,69.17856932,Pro-Peace,13
34.5210196,69.17925596,Pro-Peace,13
34.52042734,69.17926669,Pro-Peace,13
34.52058646,69.17927742,Pro-Peace,13
34.52055552,69.17998552,Pro-Peace,13
34.52013563,69.18073654,Pro-Peace,13
34.52005607,69.18104768,Pro-Peace,13
34.52024171,69.18112278,Pro-Peace,13
34.52070137,69.18125153,Pro-Peace,13
34.5196406,69.18489933,Pro-Peace,13
34.52013563,69.18571472,Pro-Peace,13
34.52098424,69.18897629,Pro-Peace,13
34.54354007,69.19841766,Pro-Peace,13
34.52296431,69.20009136,Pro-Peace,13
34.54785256,69.20116425,Pro-Peace,13
34.53406595,69.20228004,Pro-Peace,13
34.53588221,69.20317054,Pro-Peace,13
34.54124234,69.20391083,Pro-Peace,13
34.53558613,69.20519829,Pro-Peace,13
34.55640618,69.20700073,Pro-Peace,13
34.50828948,69.22026157,Pro-Peace,13
34.50500055,69.22094822,Pro-Peace,13
34.50694563,69.22523975,Pro-Peace,13
34.51372654,69.11777973,Pro-Peace,13
34.51405806,69.11781192,Pro-Peace,13
34.47132576,69.12340164,Pro-Taliban,14
34.49060554,69.13799286,Pro-Taliban,14
34.54129537,69.1960144,Pro-Taliban,14
34.51430117,69.19734478,Pro-Taliban,14
34.51430117,69.19734478,Pro-Taliban,14
34.52116104,69.100914,Pro-War,15
"34.5169886074523,",69.12752151,Pro-War,15
34.48271729,69.13237095,Pro-War,15
