FID,the_geom,NAME,LATITUDE,LAT_DD,LONGITUDE,LONG_DD,STATUS,STRUCTURES,YR_CONFIRM,APROX_STR1,APROX_STR2,YR_RANGE1,YR_RANGE2,SEC_TOWN
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7787,POINT (24.228055555555557 14.623055555555556),KURBIA,143723,14.623056,0241341,24.228056,DESTROYED,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7788,POINT (24.28 14.729444444444445),UM MAHAREIK,144346,14.729444,0241648,24.28,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7789,POINT (24.19388888888889 14.678333333333333),,144042,14.678333,0241138,24.193889,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7790,POINT (24.351111111111113 14.6325),,143757,14.6325,0242104,24.351111,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7791,POINT (24.314166666666665 14.7125),,144245,14.7125,0241851,24.314167,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7792,POINT (24.78611111111111 14.22888888888889),,141344,14.228889,0244710,24.786111,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7793,POINT (24.201666666666668 14.584722222222222),KAYTINARYARO,143505,14.584722,0241206,24.201667,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7794,POINT (24.23361111111111 14.588888888888889),,143520,14.588889,0241401,24.233611,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7795,POINT (24.281111111111112 14.588888888888889),,143520,14.588889,0241652,24.281111,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7796,POINT (24.29361111111111 14.570833333333333),,143415,14.570833,0241737,24.293611,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7797,POINT (24.27722222222222 14.573611111111111),,143425,14.573611,0241638,24.277222,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7798,POINT (24.356666666666666 14.588055555555556),,143517,14.588056,0242124,24.356667,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7799,POINT (24.265833333333333 14.599444444444444),,143558,14.599444,0241557,24.265833,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7800,POINT (24.2825 14.6125),,143645,14.6125,0241657,24.2825,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7801,POINT (24.273888888888887 14.629722222222222),,143747,14.629722,0241626,24.273889,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7802,POINT (24.173333333333332 14.939166666666667),UM HARAZ,145621,14.939167,0241024,24.173333,NO DAMAGE,,,0,0,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7803,POINT (24.1675 14.951666666666666),,145706,14.951667,0241003,24.1675,NO DAMAGE,,,0,0,0,0,
