Date,Latitude,Longitude,Summary,Category
2012-03-26T03:30:00,7,69.82,Alert 027/12 Hijacked Vessel - UPDATE (29 Mar 12),Pirated
2012-03-27T11:35:00,-3,55,NSC Alert 013/12 - Hijacked Fishing Vessel,Pirated
2012-03-28T07:30:00,12,51.37,Pirated,Pirated
2012-03-28T09:15:00,8.5,53,Suspicious Activity,Suspicious Activity
2012-04-04T17:00:00,21.63,59.98,Attacked,Attacked
2012-04-06T05:55:00,25.48,57.53,Alert 030/12 - ATTACK (Also Known as NSC 015/12),Attacked
2012-04-09T10:50:00,12.23,61.75,NSC 016/12 - Suspicious Approach,Approached
2012-04-13T11:15:00,-11.3,41,Alert 032/12 - Attack,Attacked
2012-04-14T01:45:00,14.28,52.83,NSC 017/12 - Suspicous Activity,Suspicious Activity
2012-04-14T06:55:00,16.9,65.98,NSC 018/12 - Suspicious Approach,Approached
2012-04-16T08:00:00,-9.8,40.52,Suspicious Activity,Suspicious Activity
2012-04-21T22:35:00,15.33,52.2,PIRATED,Pirated
2012-04-24T19:40:00,4.55,54.63,Suspicious Activity,Suspicious Activity
2012-04-29T06:00:00,13.43,42.65,Suspicious Approach,Approached
2012-05-07T03:50:00,8.13,56.3,Approached,Approached
2012-05-09T10:00:00,10.93,60.08,Attacked,Attacked
2012-05-10T09:30:00,15.97,61.05,Pirated,Pirated
2012-05-10T10:00:00,14.3,58.45,Attacked,Attacked
2012-05-18T09:30:00,19.78,60.82,Suspicious activity,Suspicious Activity
2012-05-23T14:10:00,12.8,43.18,Approached,Approached
2012-06-18T09:30:00,14.47,50.75,Attacked,Attacked
2012-06-20T05:30:00,20.83,59.5,Attack,Attacked
2012-06-20T12:00:00,20.48,59.05,Pirated,Pirated
2012-06-27T10:15:00,14.36,54.63,Attack,Attacked
2012-07-31T14:00:00,12.35,43.98,Suspicious Activity,Suspicious Activity
2012-08-12T13:00:00,17,54,Pirated,Pirated
2012-08-17T09:20:00,1.27,58.12,Attack,Miscellaneous
2012-09-24T13:00:00,15.75,55.43,Dhow attacked,Attacked
2012-10-09T09:00:00,13.3,57.58,Suspicious Activity,Suspicious Activity
2012-10-10T00:10:00,0.43,50.65,Fishing vessel attacked,Attacked
2012-10-19T12:45:00,8.31,50.46,Hijacked,Pirated
2012-11-20T10:30:00,2.17,52.68,Suspicious Activity,Suspicious Activity
2012-11-28T11:00:00,6.67,59.08,Suspicious Activity,Suspicious Activity
2012-12-15T04:30:00,24.15,59.07,Suspicious Approach,Approached
2012-12-15T15:40:00,24.58,57.57,Pirate Attack,Attacked
2012-12-18T12:00:00,11.3,49.15,Suspicious Activity,Suspicious Activity
2012-12-19T12:50:00,11.3,49.15,Change to Suspicious Activity,Suspicious Activity
2012-12-20T11:15:00,11.3,49.15,UPDATE: Vessel Returned,Miscellaneous
2012-12-27T05:35:00,26.28,56.72,Suspicious approach,Approached
2013-01-05T11:30:00,3,51.866667,PIRATE ATTACK,Attacked
2013-02-18T11:50:00,7.14,52.17,Suspicious activity,Suspicious Activity
2013-02-19T10:00:00,7.14,52.17,Update on Suspicious Activity NSC 001/13 ,Suspicious Activity
2013-03-28T08:30:00,11.9,51.3,Pirate Attack,Attacked
2013-03-28T17:00:00,11.9,51.3,Update on Pirate Attack 002/13 ,Attacked
2013-04-02T07:00:00,0.866667,44.016667,Pirate Attack,Attacked
